Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Plot Area,Ready To Move,Giri Nagar,6 Bedroom,Grrvagr,2400,6.0,1.0,400.0,4
Plot Area,Immediate Possession,Whitefield,2 Bhk,Srniaga,2324,2.0,2.0,26.73,4
Super Built-Up Area,19-Dec,Yelahanka,2 Bhk,Goues A,1260,2.0,2.0,59.2,4
Super Built-Up Area,21-Feb,Talaghattapura,3 Bhk,Sodgere,2254,3.0,2.0,153.0,4
Super Built-Up Area,Ready To Move,Old Madras Road,3 Bhk,Brica E,2990,5.0,1.0,210.0,4
Built-Up Area,Ready To Move,1St Block Bel Layout,4 Bedroom,Grrvagr,1800,5.0,1.0,250.0,4
Built-Up Area,Ready To Move,Jp Nagar,2 Bhk,Adaveth,820,2.0,1.0,45.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Naireru,1296,2.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,2 Bhk,Grrvagr,1190,2.0,1.0,53.55,4
Super Built-Up Area,19-Dec,Whitefield,2 Bhk,Oreldhi,1173,2.0,1.0,77.0,4
Plot Area,16-Dec,Sarjapura - Attibele Road,3 Bedroom,Grrvagr,1800,3.0,2.0,90.0,4
Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Rarthne,1102,2.0,0.0,52.0,4
Super Built-Up Area,Ready To Move,Sarjapur,2 Bhk,Grrvagr,913,2.0,1.0,36.0,4
Super Built-Up Area,18-Apr,Hormavu,3 Bhk,Grrvagr,1176,2.0,1.0,35.27,4
Built-Up Area,Ready To Move,Prithvi Layout,3 Bhk,Srllaan,1620,3.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Billekahalli,3 Bhk,Puhtshe,2968,3.0,2.0,225.0,4
Super Built-Up Area,17-Dec,Yelahanka,2 Bhk,Hotat H,1519,2.0,3.0,65.0,4
Super Built-Up Area,19-Dec,Dodsworth Layout,3 Bhk,Prard B,1594,3.0,2.0,99.0,4
Super Built-Up Area,Ready To Move,Kaverappa Layout,2 Bhk,Slarkic,1250,2.0,1.0,68.0,4
Super Built-Up Area,Ready To Move,Haralur Road,2 Bhk,Zostaa,1056,2.0,1.0,60.0,4
Plot Area,18-Dec,Whitefield,3 Bedroom,Grrvagr,1200,3.0,1.0,68.4,4
Plot Area,Ready To Move,Kothnur Narayanapura,2 Bedroom,Grrvagr,1290,1.0,0.0,77.5,0
Built-Up Area,Ready To Move,Amruthnagar,2 Bhk,Grrvagr,1150,2.0,1.0,48.0,4
Super Built-Up Area,Ready To Move,Ambedkar Colony,2 Bhk,Rmcesa,1464,2.0,1.0,145.0,4
Plot Area,Ready To Move,Anekal,4 Bedroom,Grrvagr,1200,2.0,1.0,36.0,4
Built-Up Area,Ready To Move,Gollarapalya Hosahalli,2 Bhk,Mauner,861,2.0,0.0,36.5,4
Super Built-Up Area,Ready To Move,Kundalahalli,2 Bhk,Dieldli,1047,2.0,1.0,82.62,4
Plot Area,Ready To Move,Lakshmipura,2 Bedroom,Grrvagr,1200,2.0,0.0,75.0,4
Plot Area,Ready To Move,Kirloskar Layout,10 Bedroom,Grrvagr,1200,10.0,2.0,190.0,4
Built-Up Area,Ready To Move,Hongasandra,2 Bhk,Grrvagr,1065,2.0,1.0,45.0,4
Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Pheston,2300,3.0,3.0,369.0,4
Super Built-Up Area,Ready To Move,Ramamurthy Nagar,2 Bhk,Jsonyar,1000,2.0,1.0,62.0,4
Super Built-Up Area,Ready To Move,Lingadheeranahalli,3 Bhk,Soiewre,1682,3.0,1.0,113.0,4
Super Built-Up Area,Ready To Move,Harlur,3 Bhk,Grrvagr,1756,3.0,2.0,131.0,4
Plot Area,Ready To Move,Bel Road,5 Bedroom,Grrvagr,4000,4.0,2.0,1000.0,4
Super Built-Up Area,Ready To Move,Vignana Nagar,4 Bhk,Grrvagr,1050,4.0,2.0,90.0,4
Super Built-Up Area,Ready To Move,Vittasandra,2 Bhk,Grrvagr,1238,2.0,1.0,67.32,4
Super Built-Up Area,Ready To Move,Dasanapura,2 Bhk,Tavenew,814,2.0,1.0,42.0,4
Built-Up Area,Ready To Move,Dodda Nekkundi,2 Bhk,Gsodsee,1145,2.0,1.0,46.5,4
Super Built-Up Area,Ready To Move,Varthur,2 Bhk,Maita R,965,2.0,1.0,34.0,4
Super Built-Up Area,Ready To Move,Doddabele,2 Bhk,Grrvagr,750,2.0,1.0,36.0,4
Built-Up Area,Ready To Move,Banashankari,3 Bhk,V2Anags,1300,2.0,2.0,55.0,4
Super Built-Up Area,18-May,1St Phase Jp Nagar,3 Bhk,Inntsth,1590,3.0,3.0,131.0,4
Super Built-Up Area,20-Aug,Begur Road,1 Bhk,Pruthg,644,1.0,1.0,40.0,0
Super Built-Up Area,18-Mar,Whitefield,2 Bhk,Pranthi,982,2.0,1.0,37.0,4
Super Built-Up Area,Ready To Move,Indira Nagar,2 Bhk,Grrvagr,1260,2.0,2.0,100.0,4
Super Built-Up Area,Ready To Move,Rayasandra,3 Bhk,Mjeusyl,1555,3.0,2.0,75.17,4
Built-Up Area,Ready To Move,Race Course Road,4 Bedroom,Grrvagr,2500,4.0,1.0,450.0,4
Super Built-Up Area,18-Aug,Kaggadasapura,2 Bhk,Grrvagr,1225,2.0,2.0,48.0,4
Super Built-Up Area,Ready To Move,Electronics City Phase 1,2 Bhk,Pisomsu,1085,2.0,1.0,46.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Brway G,1640,3.0,2.0,220.0,4
Built-Up Area,18-Aug,Thanisandra,3 Bhk,Bhmesy,1595,3.0,1.0,110.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1196,2.0,2.0,40.44,4
Super Built-Up Area,18-Mar,Yelahanka,3 Bhk,Miitat,1859,3.0,1.0,108.0,4
Super Built-Up Area,21-Sep,9Th Phase Jp Nagar,2 Bhk,Vasisvi,1079,2.0,1.0,60.0,4
Built-Up Area,Ready To Move,Shivaji Nagar,2 Bhk,Grrvagr,550,1.0,1.0,27.0,0
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Satanan,1118,2.0,1.0,42.0,4
Super Built-Up Area,Ready To Move,Cv Raman Nagar,2 Bhk,Roareta,1198,2.0,2.0,60.0,4
Super Built-Up Area,18-Jun,Chandapura,3 Bhk,Suvue S,1100 - 1225,2.0,2.0,30.215,4
Super Built-Up Area,Ready To Move,Thigalarapalya,3 Bhk,Prtanha,1830,4.0,2.0,135.0,4
Super Built-Up Area,20-Oct,Banashankari Stage Vi,2 Bhk,Brens7,1160,2.0,1.0,59.0,4
Super Built-Up Area,Ready To Move,Srirampuram,3 Bhk,Grrvagr,1485,2.0,1.0,156.0,4
Super Built-Up Area,Ready To Move,Ejipura,3 Bhk,Emsic C,2070,3.0,3.0,135.0,4
Plot Area,Ready To Move,Basaveshwara Nagar,6 Bedroom,Grrvagr,750,4.0,1.0,150.0,4
Built-Up Area,17-Mar,Kannamangala,2 Bhk,Vbownre,957,2.0,0.0,52.5,4
Plot Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,Grrvagr,2400,4.0,1.0,310.0,4
Super Built-Up Area,18-Dec,Bannerghatta Road,2 Bhk,Uncioe,1268,2.0,1.0,69.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,3 Bhk,Snity S,1450,2.0,2.0,87.0,4
Built-Up Area,Ready To Move,Manorayana Palya,3 Bhk,Bhncy V,1600,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Aklia R,1330,2.0,1.0,57.0,4
Super Built-Up Area,Ready To Move,Jakkur,3 Bhk,Paurt C,1355,2.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Abbaiah Reddy Layout,2 Bhk,Ssaveik,1100,2.0,1.0,38.49,4
Super Built-Up Area,Ready To Move,Chikkalasandra,2 Bhk,Grrvagr,1075,2.0,1.0,46.76,4
Super Built-Up Area,Ready To Move,Lingarajapuram,2 Bhk,Grrvagr,800,2.0,1.0,55.0,4
Built-Up Area,Ready To Move,Vasantha Vallabha Nagar,2 Bhk,Nentsan,900,1.0,1.0,44.0,0
Super Built-Up Area,Ready To Move,Haralur Road,2 Bhk,Rinceeg,1140,2.0,1.0,42.0,4
Super Built-Up Area,Ready To Move,Ganga Nagar,3 Bhk,Grrvagr,1480,2.0,2.0,125.0,4
Super Built-Up Area,18-May,Padmanabhanagar,3 Bhk,Grrvagr,1710,2.0,2.0,90.63,4
Super Built-Up Area,21-Dec,Talaghattapura,3 Bhk,Sodgere,2106,3.0,3.0,148.0,4
Plot Area,Ready To Move,Yeshwanthpur,9 Bedroom,Grrvagr,2400,6.0,2.0,270.0,4
Plot Area,Ready To Move,Sadahalli,3 Bedroom,K Ensad,3800,2.0,2.0,130.0,4
Plot Area,Ready To Move,Vajarahalli,3 Bedroom,Grrvagr,800,3.0,2.0,120.0,4
Super Built-Up Area,Ready To Move,Marathahalli,2 Bhk,Rookajh,1602,2.0,2.0,104.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Dsndsod,1660,2.0,2.0,116.0,4
Super Built-Up Area,Ready To Move,Electronic City Phase Ii,3 Bhk,Sjmesst,1549,3.0,2.0,80.0,4
Super Built-Up Area,19-Mar,Marathahalli,1 Bhk,Unezes,700,1.0,1.0,38.0,0
Super Built-Up Area,18-Dec,Balagere,2 Bhk,Soresea,1012,2.0,1.0,64.0,4
Super Built-Up Area,18-Aug,Whitefield,2 Bhk,Prtates,1216,2.0,1.0,69.0,4
Super Built-Up Area,Ready To Move,Electronic City Phase Ii,2 Bhk,Brods W,1065,2.0,1.0,56.13,4
Super Built-Up Area,19-Mar,Thanisandra,3 Bhk,Bhe 2Ko,1411,3.0,1.0,93.15,4
Super Built-Up Area,Ready To Move,Pai Layout,2 Bhk,Vatlede,1400,2.0,2.0,57.5,4
Super Built-Up Area,Ready To Move,Hoskote,3 Bhk,Deiveer,1250,3.0,2.0,29.0,4
Super Built-Up Area,Ready To Move,Haralur Road,2 Bhk,Grrvagr,1245,2.0,3.0,62.0,4
Super Built-Up Area,Ready To Move,Choodasandra,2 Bhk,Grhtiru,1115,2.0,1.0,50.0,4
Super Built-Up Area,Ready To Move,Vidyaranyapura,2 Bhk,Dsestil,1000,2.0,1.0,35.0,4
Super Built-Up Area,18-Mar,Panathur,3 Bhk,Eceonfe,1565 - 1595,3.0,0.0,71.89,4
Super Built-Up Area,Ready To Move,Subramanyapura,3 Bhk,Chllsev,1800,3.0,2.0,90.0,4
Super Built-Up Area,Ready To Move,Mathikere,2 Bhk,Csncele,1500,2.0,2.0,130.0,4
Super Built-Up Area,18-Jun,Kothannur,3 Bhk,Grrvagr,1275,3.0,2.0,44.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,3 Bhk,Esree8,1494,3.0,2.0,82.0,4
Super Built-Up Area,Ready To Move,Bhoganhalli,3 Bhk,Prsun S,1949,3.0,2.0,129.0,4
Super Built-Up Area,Ready To Move,Btm Layout,2 Bhk,Krberl,1020,2.0,1.0,46.5,4
Super Built-Up Area,Ready To Move,Mysore Road,2 Bhk,Prawnra,883,2.0,1.0,45.0,4
Built-Up Area,Ready To Move,Old Airport Road,4 Bhk,Grrvagr,3200,4.0,2.0,280.0,4
Plot Area,Ready To Move,Uttarahalli,6 Bedroom,Grrvagr,1680,6.0,1.0,125.0,4
Plot Area,Ready To Move,Mysore Road,12 Bedroom,Grrvagr,2232,6.0,2.0,300.0,4
Super Built-Up Area,Ready To Move,Anand Nagar,3 Bhk,Grrvagr,2010,3.0,3.0,125.0,4
Super Built-Up Area,Ready To Move,Yeshwanthpur,2 Bhk,Ibityin,1240,2.0,2.0,80.0,4
Super Built-Up Area,Ready To Move,6Th Phase Jp Nagar,2 Bhk,Grrvagr,1213,2.0,1.0,63.0,4
Super Built-Up Area,Ready To Move,Hegde Nagar,3 Bhk,Golmsn,1835,3.0,3.0,88.0,4
Plot Area,Ready To Move,Hoskote,9 Bedroom,Grrvagr,1800,10.0,3.0,185.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,4 Bhk,Kobhiil,2932,5.0,2.0,195.0,4
Built-Up Area,Ready To Move,Whitefield,4 Bedroom,Grrvagr,3425,5.0,2.0,250.0,4
Built-Up Area,Ready To Move,Gottigere,2 Bhk,Skvasa,945,2.0,0.0,45.0,4
Super Built-Up Area,Ready To Move,Sathya Layout,3 Bhk,Nchtsun,1504,2.0,2.0,100.0,4
Super Built-Up Area,Ready To Move,Lakshminarayana Pura,3 Bhk,Rothava,1569,3.0,2.0,150.0,4
Super Built-Up Area,Ready To Move,Harlur,3 Bhk,Prncyrn,1755,3.0,2.0,130.0,4
Super Built-Up Area,Ready To Move,Vijayanagar,3 Bhk,Goncyre,1760,3.0,2.0,140.0,4
Super Built-Up Area,18-May,Hoodi,2 Bhk,Grrvagr,1240,2.0,3.0,43.94,4
Super Built-Up Area,19-Dec,Electronics City Phase 1,3 Bhk,Shitt S,1450,3.0,2.0,72.54,4
Super Built-Up Area,Ready To Move,5Th Phase Jp Nagar,2 Bhk,Maodser,1000,2.0,0.0,48.0,4
Plot Area,Ready To Move,Shivaji Nagar,1 Bedroom,Grrvagr,3820,1.0,1.0,306.0,0
Super Built-Up Area,Ready To Move,Thyagaraja Nagar,5 Bhk,Grrvagr,2000,4.0,2.0,145.0,4
Super Built-Up Area,Ready To Move,Choodasandra,2 Bhk,Grlpank,1215,2.0,2.0,59.0,4
Plot Area,Ready To Move,5 Bedroom Farm House In Lakshmipura,5 Bedroom,Grrvagr,24Guntha,6.0,2.0,550.0,4
Super Built-Up Area,Ready To Move,Yelachenahalli,3 Bhk,Grrvagr,1330,3.0,3.0,73.5,4
Super Built-Up Area,18-Aug,Raja Rajeshwari Nagar,2 Bhk,Prllsan,1178,2.0,1.0,75.0,4
Plot Area,18-Aug,Hulimavu,4 Bedroom,Valleci,1500,4.0,3.0,192.0,4
Super Built-Up Area,Ready To Move,Shree Ananth Nagar Layout,2 Bhk,Aaityi,2040,2.0,2.0,59.0,4
Super Built-Up Area,18-Mar,Bellandur,3 Bhk,Grrvagr,2000,3.0,2.0,85.0,4
Super Built-Up Area,18-May,Shanti Nagar,3 Bhk,Ubreean,1602,2.0,1.0,165.0,4
Plot Area,Ready To Move,2Nd Stage Arekere Mico Layout,4 Bedroom,Grrvagr,1200,4.0,1.0,130.0,4
Built-Up Area,Ready To Move,Jayamahal,3 Bhk,Peace P,1800,3.0,1.0,220.0,4
Plot Area,Ready To Move,Dasarahalli,3 Bedroom,Grrvagr,2400,2.0,1.0,152.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Maantr,1700,3.0,3.0,108.0,4
Built-Up Area,Ready To Move,Jigani,3 Bhk,Dlhtsan,1200,3.0,2.0,65.0,4
Plot Area,Ready To Move,Veer Sandra,3 Bedroom,Thessie,1500,3.0,0.0,72.0,4
Plot Area,Ready To Move,Karuna Nagar,3 Bedroom,Coinocu,1240,3.0,2.0,165.0,4
Built-Up Area,Ready To Move,Whitefield,3 Bedroom,Grrvagr,3000,3.0,2.0,400.0,4
Built-Up Area,Ready To Move,Kanakpura Road,3 Bhk,Grrvagr,1737,3.0,3.0,85.0,4
Built-Up Area,Ready To Move,Chennappa Layout,3 Bhk,Mawerer,1280,2.0,1.0,48.0,4
Super Built-Up Area,Ready To Move,Cv Raman Nagar,2 Bhk,Chhalut,1560,2.0,2.0,85.0,4
Super Built-Up Area,Ready To Move,Kambipura,2 Bhk,Grrvagr,883,2.0,1.0,44.0,4
Super Built-Up Area,Ready To Move,Kengeri Satellite Town,2 Bhk,Grrvagr,750,2.0,1.0,33.0,4
Super Built-Up Area,Ready To Move,Brookefield,4 Bhk,Gotaten,2400,3.0,3.0,140.0,4
Super Built-Up Area,Ready To Move,Bhuvaneshwari Nagar,2 Bhk,Naaveen,900,2.0,1.0,45.0,4
Super Built-Up Area,Ready To Move,Hormavu,2 Bhk,Grrvagr,1030,2.0,1.0,49.35,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Brngsal,1850,3.0,2.0,155.0,4
Built-Up Area,Ready To Move,Hennur Road,3 Bhk,Sairesa,1831,3.0,1.0,110.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar 5Th Stage,2 Bhk,Grrvagr,1095,2.0,1.0,38.33,4
Built-Up Area,18-Jul,Electronic City Phase Ii,3 Bhk,Sryalan,1320,2.0,1.0,38.13,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Shthi S,1270 - 1275,2.0,0.0,40.72,4
Built-Up Area,Ready To Move,7Th Phase Jp Nagar,2 Bhk,Grrvagr,1000,2.0,1.0,61.0,4
Super Built-Up Area,Ready To Move,Budigere,3 Bhk,Pritytr,1820,3.0,2.0,85.4,4
Super Built-Up Area,Ready To Move,Bisuvanahalli,3 Bhk,Prityel,1075,2.0,1.0,41.0,4
Plot Area,18-May,Tc Palaya,3 Bedroom,Grrvagr,1500,3.0,0.0,83.0,4
Super Built-Up Area,Ready To Move,Electronics City Phase 1,1 Rk,Grrvagr,360,1.0,0.0,16.9,0
Super Built-Up Area,Ready To Move,Kadugodi,1 Bhk,Ratatha,840 - 1010,1.0,0.0,40.7,0
Super Built-Up Area,21-Dec,Electronic City,2 Bhk,Konteit,1140,2.0,1.0,70.93,4
Super Built-Up Area,18-Oct,Chennammana Kere,2 Bhk,Grrvagr,1145,2.0,2.0,58.4,4
Super Built-Up Area,Ready To Move,Rmv Extension Stage 2,3 Bhk,Grrvagr,1862,3.0,3.0,120.0,4
Super Built-Up Area,Ready To Move,Devarachikkanahalli,2 Bhk,Grrvagr,947,2.0,2.0,43.0,4
Built-Up Area,Ready To Move,Langford Town,4 Bhk,Grrvagr,697Sq. Meter,4.0,2.0,211.0,4
Plot Area,Ready To Move,Chandra Layout,3 Bedroom,Grrvagr,700,3.0,2.0,195.0,4
Super Built-Up Area,Ready To Move,Kalena Agrahara,2 Bhk,Grrvagr,1120,2.0,2.0,40.0,4
Built-Up Area,Ready To Move,Sadanand Nagar,3 Bhk,Grrvagr,2700,3.0,3.0,200.0,4
Super Built-Up Area,Ready To Move,Kaggadasapura,3 Bhk,Matlelp,1805,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Basavangudi,2 Bhk,Grrvagr,1100,2.0,3.0,93.0,4
Plot Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1355,3.0,0.0,135.0,4
Built-Up Area,18-Dec,"Whietfield,",3 Bhk,Grrvagr,1677,3.0,2.0,98.0,4
Built-Up Area,Ready To Move,Hosapalya,8 Bedroom,Grrvagr,2500,8.0,3.0,95.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Grrvagr,1560,3.0,3.0,74.0,4
Super Built-Up Area,Ready To Move,Arekere,3 Bhk,Grrvagr,2060,3.0,2.0,150.0,4
Super Built-Up Area,Ready To Move,Koramangala,3 Bhk,Khage G,1716,2.0,0.0,115.0,4
Super Built-Up Area,Ready To Move,Harlur,3 Bhk,Grrvagr,1864,3.0,1.0,140.0,4
Built-Up Area,Ready To Move,Electronics City Phase 1,1 Bhk,Grrvagr,638,1.0,1.0,32.0,0
Plot Area,Ready To Move,Sidedahalli,9 Bedroom,Grrvagr,1200,7.0,3.0,95.0,4
Super Built-Up Area,Ready To Move,Kodigehalli,8 Bhk,Grrvagr,1150,9.0,2.0,170.0,4
Super Built-Up Area,18-Dec,Chandapura,2 Bhk,Amaks O,937,2.0,1.0,30.0,4
Built-Up Area,Ready To Move,Hennur Gardens,3 Bhk,Plhtshe,1490,2.0,1.0,115.0,4
Super Built-Up Area,Ready To Move,Frazer Town,4 Bhk,Meentan,4856,5.0,3.0,410.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Chllea,4003,6.0,1.0,525.0,4
Super Built-Up Area,17-May,Whitefield,2 Bhk,Svineun,1100,2.0,1.0,37.0,4
Super Built-Up Area,Ready To Move,Thigalarapalya,2 Bhk,Saowsi,1000,2.0,2.0,48.53,4
Super Built-Up Area,Ready To Move,Horamavu Agara,2 Bhk,Grrvagr,1060,2.0,1.0,37.0,4
Super Built-Up Area,Ready To Move,Kundalahalli,2 Bhk,Dieldli,1047,2.0,1.0,91.0,4
Built-Up Area,Ready To Move,Basaveshwara Nagar,2 Bhk,Grrvagr,1200,2.0,2.0,80.0,4
Super Built-Up Area,Ready To Move,Akshaya Nagar,3 Bhk,Dlhtsnd,1420,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Coleoen,1539,3.0,2.0,85.0,4
Super Built-Up Area,Ready To Move,Tejaswini Nagar,3 Bhk,Dhndsh,1550,3.0,1.0,59.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,3 Bhk,Grrvagr,1555,3.0,3.0,82.0,4
Plot Area,Ready To Move,Btm Layout 1Stage 9Th Main,7 Bedroom,Grrvagr,600,6.0,2.0,138.0,4
Super Built-Up Area,Ready To Move,Seegehalli,3 Bhk,Srandir,1553,3.0,3.0,68.0,4
Super Built-Up Area,Ready To Move,Electronic City Phase Ii,2 Bhk,Rie 2Ri,920,2.0,2.0,26.0,4
Super Built-Up Area,Ready To Move,Jeevan Bima Nagar,3 Bhk,Lancysi,1740,3.0,3.0,120.0,4
Super Built-Up Area,Ready To Move,Ombr Layout,3 Bhk,Grrvagr,1855,3.0,2.0,145.0,4
Super Built-Up Area,18-Mar,Kundalahalli,3 Bhk,Dieldli,1724,3.0,1.0,146.0,4
Super Built-Up Area,Ready To Move,B Narayanapura,2 Bhk,Inentva,1020,2.0,2.0,60.0,4
Plot Area,Ready To Move,Banaswadi,6 Bedroom,Grrvagr,1000,4.0,2.0,150.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Grrvagr,1250,2.0,1.0,50.0,4
Super Built-Up Area,Ready To Move,Sanjay Nagar,3 Bhk,Grrvagr,1450,3.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Thubarahalli,2 Bhk,Shdhisa,1200,2.0,2.0,80.0,4
Built-Up Area,Ready To Move,Haralur Road,2 Bhk,Siows M,1140,2.0,2.0,58.0,4
Plot Area,Ready To Move,Hoskote,5 Bedroom,Grrvagr,900,5.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Basava Nagar,1 Bhk,Slionan,550,1.0,1.0,16.0,0
Super Built-Up Area,17-Oct,Bannerghatta Road,3 Bhk,Snillin,1450,3.0,1.0,44.0,4
Plot Area,Immediate Possession,Jigani,2 Bhk,S2Enste,1500,2.0,2.0,25.49,4
Super Built-Up Area,21-Dec,Kanakpura Road,2 Bhk,Prarepa,700,2.0,1.0,35.07,4
Plot Area,18-Jul,Whitefield,3 Bedroom,Grrvagr,1200,3.0,1.0,56.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Apows M,1050,2.0,1.0,45.0,4
Super Built-Up Area,Ready To Move,Somasundara Palya,3 Bhk,Grrvagr,1600,3.0,3.0,69.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,3 Bhk,Grrvagr,1625,2.0,3.0,75.0,4
Super Built-Up Area,Ready To Move,Volagerekallahalli,2 Bhk,Aszaral,1492,2.0,2.0,65.0,4
Super Built-Up Area,18-Dec,Whitefield,4 Bhk,Prtates,2830 - 2882,5.0,0.0,157.5,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Coleoen,1489,2.0,3.0,82.0,4
Super Built-Up Area,Ready To Move,Kanakapura,3 Bhk,Grrvagr,1560,2.0,2.0,62.38,4
Super Built-Up Area,Ready To Move,Haralur Road,2 Bhk,Rinceeg,1140,2.0,2.0,42.0,4
Super Built-Up Area,Ready To Move,Lavakusha Nagar,3 Bhk,Vanusn,1431,3.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Lingadheeranahalli,3 Bhk,Soiewre,1682,3.0,1.0,114.0,4
Super Built-Up Area,18-Feb,Panathur,2 Bhk,Prcesvy,1198,2.0,1.0,86.26,4
Plot Area,18-May,Outer Ring Road East,3 Bedroom,Prstate,3664,3.0,2.0,325.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Sjityaz,1550,2.0,2.0,69.75,4
Super Built-Up Area,Ready To Move,Kodichikkanahalli,2 Bhk,Grrvagr,1026,2.0,1.0,45.0,4
Built-Up Area,Ready To Move,Hennur,3 Bhk,Grrvagr,1260,2.0,2.0,52.0,4
Plot Area,Ready To Move,Singanayakanahalli,2 Bedroom,Grrvagr,690,2.0,0.0,42.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,1 Bhk,Ahriaup,539,1.0,1.0,45.0,0
Built-Up Area,Ready To Move,Sarakki Nagar,4 Bedroom,Grrvagr,1200,4.0,1.0,85.0,4
Built-Up Area,Ready To Move,Attibele,3 Bedroom,Grrvagr,2400,3.0,3.0,120.0,4
Super Built-Up Area,Ready To Move,Thubarahalli,2 Bhk,Shdhisa,1200,2.0,2.0,79.55,4
Plot Area,Ready To Move,Kundalahalli,4 Bedroom,Grrvagr,2500,5.0,2.0,350.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Mjinele,1186,2.0,2.0,40.0,4
Super Built-Up Area,Ready To Move,Thanisandra,2 Bhk,Slityee,1039,2.0,2.0,39.5,4
Plot Area,Ready To Move,Mahalakshmi Puram,4 Bedroom,Grrvagr,1500,5.0,3.0,233.0,4
Plot Area,Ready To Move,Gottigere,5 Bedroom,Grrvagr,1500,4.0,1.0,100.0,4
Super Built-Up Area,Ready To Move,Malleshwaram,3 Bhk,Maionra,2520,3.0,2.0,150.0,4
Built-Up Area,Ready To Move,Brookefield,2 Bhk,Roeekbl,1225,2.0,2.0,66.5,4
Built-Up Area,Ready To Move,Bommanahalli,2 Bhk,Blibuma,1350,2.0,2.0,72.0,4
Super Built-Up Area,Ready To Move,Vittal Mallya Road,2 Bhk,Pontspa,1030,2.0,2.0,300.0,4
Built-Up Area,Ready To Move,Whitefield,3 Bhk,Grrvagr,1550,2.0,2.0,49.6,4
Super Built-Up Area,Ready To Move,Hoodi,3 Bhk,Grrvagr,1490,3.0,2.0,79.0,4
Super Built-Up Area,Ready To Move,Brindavan Nagar,3 Bhk,Mancy R,1520,3.0,2.0,111.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,4100,4.0,2.0,550.0,4
Built-Up Area,Ready To Move,Dena Bank Colony,3 Bhk,Aliewe,1391,2.0,3.0,64.5,4
Super Built-Up Area,Ready To Move,Rachenahalli,2 Bhk,Paentta,1200,2.0,2.0,50.0,4
Plot Area,Ready To Move,Kadabagere,4 Bedroom,Grrvagr,1200,4.0,2.0,86.0,4
Plot Area,Ready To Move,1St Block Hbr Layout,5 Bedroom,Grrvagr,2500,6.0,3.0,500.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Puziave,1322,2.0,2.0,80.0,4
Super Built-Up Area,19-Dec,Whitefield,3 Bhk,Goted U,2173,3.0,2.0,128.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Abiewla,1200,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Thubarahalli,2 Bhk,Grrvagr,1200,2.0,2.0,47.0,4
Super Built-Up Area,Ready To Move,Mysore Road,2 Bhk,Grrvagr,1170,2.0,2.0,65.0,4
Super Built-Up Area,17-Dec,Nri Layout,2 Bhk,Grrvagr,1125,2.0,2.0,45.56,4
Super Built-Up Area,18-May,Devanahalli,1 Bhk,Sabixtt,655 - 742,1.0,0.0,28.57,0
